data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2000-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-31,3.1875,2.5,1.0,1.2916666666666667,0.7,1.325,0.7916666666666666,1.125,2.875,2.8125,1.375,1.25,1.0,1.125,3.4166666666666665,1.9375,1.875,2.5625,3.4375,0.0
2000-08-31,3.625,5.458333333333333,12.21875,8.625,8.85,3.675,3.5833333333333335,10.791666666666666,3.25,5.125,8.4375,7.0,7.25,6.0,13.291666666666666,9.03125,9.8125,5.75,5.1875,0.0
2000-09-30,54.3125,50.833333333333336,83.875,85.375,75.325,31.325,44.541666666666664,127.29166666666667,83.1875,100.1875,110.5625,108.375,100.08333333333333,65.95833333333333,86.70833333333333,95.5,118.1875,123.9375,119.1875,0.0
2000-10-31,88.15625,79.97916666666667,74.609375,119.08333333333333,82.675,63.5125,101.85416666666667,152.16666666666666,164.21875,155.09375,165.9375,149.4375,131.27083333333334,139.9375,187.70833333333334,185.140625,234.4375,177.9375,211.34375,32.8
2000-11-30,164.65625,197.375,248.0,274.6041666666667,281.0375,222.5,235.08333333333334,270.7083333333333,207.9375,218.125,189.125,208.75,228.02083333333334,225.625,189.9375,190.0625,258.5,226.21875,266.78125,239.6
2000-12-31,239.59375,238.16666666666666,258.953125,257.1041666666667,249.15,224.125,246.04166666666666,338.3541666666667,313.1875,305.84375,324.375,320.3125,306.375,280.8125,376.125,395.71875,423.125,407.09375,374.1875,211.2
2001-01-31,186.75,191.79166666666666,217.796875,215.25,209.0875,214.05,217.97916666666666,180.625,199.96875,174.9375,155.96875,134.25,240.22916666666666,197.72916666666666,163.41666666666666,146.25,154.3125,150.40625,196.53125,245.0
2001-02-28,115.875,110.39583333333333,123.546875,162.52083333333334,139.725,107.8875,158.02083333333334,171.10416666666666,220.5,233.21875,214.96875,183.25,194.8125,196.85416666666666,134.5,192.265625,184.3125,262.375,232.25,94.30000000000001
2001-03-31,304.21875,310.0833333333333,304.4375,403.8541666666667,337.875,269.575,350.6458333333333,383.8541666666667,365.84375,370.96875,387.5,419.375,434.1458333333333,434.7708333333333,335.6458333333333,367.59375,349.375,381.9375,377.6875,225.60000000000002
2001-04-30,106.4375,104.625,146.125,62.458333333333336,87.05,102.0875,77.08333333333333,47.854166666666664,92.59375,76.9375,63.84375,61.25,51.8125,65.79166666666667,39.916666666666664,51.1875,62.8125,65.1875,81.78125,85.5
2001-05-31,58.75,47.125,84.6875,71.625,71.0,62.825,68.0,83.125,77.3125,84.3125,65.3125,54.25,55.333333333333336,74.95833333333333,63.666666666666664,91.34375,77.25,83.75,80.0625,65.7
2001-06-30,10.5,9.666666666666666,8.46875,7.166666666666667,7.825,9.975,9.625,7.0,9.4375,9.1875,8.4375,7.75,8.0,8.833333333333334,8.583333333333334,8.8125,9.6875,9.1875,9.875,0.0
2001-07-31,26.875,23.958333333333332,22.65625,12.916666666666666,17.075,22.3,16.5,9.083333333333334,13.3125,12.25,10.1875,9.125,10.583333333333334,12.75,2.2916666666666665,8.25,7.5625,11.125,10.375,0.0
2001-08-31,42.5,49.0,10.90625,6.75,5.225,14.475,6.916666666666667,4.208333333333333,5.1875,6.25,4.4375,4.125,5.958333333333333,8.666666666666666,5.291666666666667,4.125,3.1875,5.6875,3.6875,16.7
2001-09-30,43.875,58.75,55.65625,47.208333333333336,55.775,53.7,43.541666666666664,37.333333333333336,29.0625,37.375,29.6875,24.75,30.5,39.041666666666664,37.833333333333336,32.0625,34.0625,31.25,32.6875,34.7
2001-10-31,114.125,135.70833333333334,194.09375,150.08333333333334,157.125,173.275,141.0,132.41666666666666,143.375,144.0625,166.125,130.875,154.08333333333334,158.125,197.33333333333334,190.53125,160.4375,177.625,162.3125,93.4
2001-11-30,146.125,153.83333333333334,189.46875,214.75,198.8,218.225,228.5,273.125,263.1875,250.4375,225.3125,224.375,255.70833333333334,233.79166666666666,333.75,309.71875,260.6875,238.0,217.4375,220.7
